STATE,YEAR,NSDP Per Capita,Telephone,State-wise Credit-Deposit Ratio of Scheduled Commercial Banks - According to Place of Sanction,STATE-WISE AVAILABILITY OF POWER net crore units,HDI
Odisha,#NAME?,54209,60.9,44.6,2455,0.631
Odisha,#NAME?,54361,66.85,41.9,2605,0.64
Odisha,#NAME?,57806,69.09,40.8,2660,0.654
Odisha,#NAME?,66416,80.74,38.1,2676,0.658
Odisha,#NAME?,71032,80.28,37.6,2871,0.653
Odisha,#NAME?,75421,75.74,38.7,3212,0.657
Odisha,#NAME?,76439,76.58,39.5,2969,0.657
Odisha,#NAME?,73325,78.46,39.5,2985,0.654
Odisha,#NAME?,85516,74.99,40.8,3833,0.687
Odisha,#NAME?,84213,75.74,44,4258,0.691
Odisha,#NAME?,89705,76.97,48.1,4133,0.692
Punjab,#NAME?,84492.9,104.1,77.8,4180,0.747
Punjab,#NAME?,85577,113.1,80.9,4379,0.752
Punjab,#NAME?,88915,103,81.6,4612,0.757
Punjab,#NAME?,93238,107.22,79.1,4708,0.769
Punjab,#NAME?,95807,103.79,75.1,4814,0.776
Punjab,#NAME?,100141,106.1,69.8,4968,0.789
Punjab,#NAME?,105848,118.28,69,5310,0.781
Punjab,#NAME?,110857,123.45,63.5,5481,0.762
Punjab,#NAME?,115592,125.35,60.3,5532,0.755
Punjab,#NAME?,118487,123.52,57.1,5677,0.756
Punjab,#NAME?,113025,125.27,55,5838,0.752
Punjab,#NAME?,118307,118.57,54.2,6241,0.789
Punjab,#NAME?,125197,115.32,53.7,6922,0.794
Punjab,#NAME?,130758,114.36,58.3,6953,0.78
Tamil Nadu,#NAME?,88517.43,97.7,115.1,7510,0.733
Tamil Nadu,#NAME?,93112,116.6,116.9,7671,0.739
Tamil Nadu,#NAME?,97257,108.17,123.3,7616,0.743
Tamil Nadu,#NAME?,102191,107.22,121.8,8798,0.753
Tamil Nadu,#NAME?,107117,103.79,119,9275,0.759
Tamil Nadu,#NAME?,115875,106.1,113.7,9659,0.771
Tamil Nadu,#NAME?,123206,118.28,105.8,10449,0.767
Tamil Nadu,#NAME?,133029,123.45,113.5,10584,0.752
Tamil Nadu,#NAME?,141844,125.35,110.3,10938,0.748
Tamil Nadu,#NAME?,144845,123.52,107.5,10881,0.749
Tamil Nadu,#NAME?,143482,125.27,101.7,10119,0.745
Tamil Nadu,#NAME?,154269,118.57,100.9,10980,0.782
Tamil Nadu,#NAME?,163205,115.32,105.8,11472,0.787
Tamil Nadu,#NAME?,178496,114.36,113,12615,0.775
Uttar Pradesh,#NAME?,31851.74,53,44,6485,0.599
Uttar Pradesh,#NAME?,32648,60.9,44,7212,0.602
Uttar Pradesh,#NAME?,33596,56.83,44.1,7645,0.609
Uttar Pradesh,#NAME?,34901,57.27,44.6,8161,0.621
Uttar Pradesh,#NAME?,35537,60.51,45.4,8706,0.63
Uttar Pradesh,#NAME?,38184,65.83,44.6,9303,0.644
Uttar Pradesh,#NAME?,42180,74.03,40,10570,0.652
Uttar Pradesh,#NAME?,42876,71.36,41.2,11830,0.65
Uttar Pradesh,#NAME?,43454,68.63,42.7,11615,0.659
Uttar Pradesh,#NAME?,44265,66.2,41.5,12100,0.659
Uttar Pradesh,#NAME?,40959,68.09,41.5,12338,0.655
Uttar Pradesh,#NAME?,45294,67.68,43.9,12831,0.688
Uttar Pradesh,#NAME?,48014,66.12,46,14305,0.693
Uttar Pradesh,#NAME?,51898,67.03,49.9,14829,0.695
West Bengal,#NAME?,49277.5,53.4,63.7,3585,0.646
West Bengal,#NAME?,51543,61.5,63.8,3828,0.65
West Bengal,#NAME?,53157,54.18,62,4184,0.657
West Bengal,#NAME?,53811,55.13,61.6,4276,0.67
West Bengal,#NAME?,54520,60.69,57.8,4683,0.679
West Bengal,#NAME?,57255,63.16,55.1,4719,0.694
West Bengal,#NAME?,60618,73.59,50.3,4781,0.694
West Bengal,#NAME?,64007,73.73,51.1,5057,0.683
West Bengal,#NAME?,68195,71.39,49.5,5129,0.684
West Bengal,#NAME?,69548,67.8,49.3,5282,0.684
West Bengal,#NAME?,62852,68.5,46.5,5154,0.68
West Bengal,#NAME?,70100,68.77,46.4,5395,0.714
West Bengal,#NAME?,73793,69.35,47.7,6027,0.719
West Bengal,#NAME?,77933,71.09,49.5,6749,0.715
